행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,위험도_점수,위험도,위험도7,예측_위험도
11110540,삼청동,CS300002,편의점,1.1658249081076488,2,7단계,2
11110540,삼청동,CS300010,반찬가게,-0.2938787410247466,0,2단계,0
11110540,삼청동,CS300011,일반의류,-0.11250839618808399,1,4단계,1
11110540,삼청동,CS300014,신발,-0.5619097701930666,0,1단계,0
11110540,삼청동,CS300017,시계및귀금속,-0.11059016639493349,1,4단계,1
11110540,삼청동,CS300018,의약품,-0.1696227817333529,1,4단계,1
11110540,삼청동,CS300020,서적,0.09485282986982761,2,5단계,1
11110540,삼청동,CS300022,화장품,0.22138832147910104,2,6단계,2
11110540,삼청동,CS300028,화초,-0.4751343829565683,0,1단계,0
11110540,삼청동,CS300031,가구,-0.48596246373623025,0,1단계,0
11110540,삼청동,CS300043,전자상거래업,1.1861688379232795,2,7단계,2
11110550,부암동,CS100001,한식음식점,-0.17523237363724745,1,4단계,1
11110550,부암동,CS100002,중식음식점,-0.4810480252431572,0,1단계,0
11110550,부암동,CS100004,양식음식점,-0.6075251767792493,0,1단계,0
11110550,부암동,CS100005,제과점,-0.5667849333319928,0,1단계,0
11110550,부암동,CS100006,패스트푸드점,-0.49039580266797544,0,1단계,0
11110550,부암동,CS100008,분식전문점,-0.23875060696295763,1,3단계,0
11110550,부암동,CS100009,호프-간이주점,-0.22947446676108732,1,3단계,0
11110550,부암동,CS100010,커피-음료,-0.19600945537574427,1,3단계,1
11110550,부암동,CS200001,일반교습학원,0.1411937633179956,2,6단계,2
11110550,부암동,CS200003,예술학원,0.06093097448309103,1,5단계,1
11110550,부암동,CS200005,스포츠 강습,0.14648433466436922,2,6단계,2
11110550,부암동,CS200024,스포츠클럽,-0.7114044536720318,0,1단계,0
11110550,부암동,CS200025,자동차수리,-0.12776482836535724,1,4단계,1
11110550,부암동,CS200028,미용실,-0.35466681978711156,0,2단계,0
11110550,부암동,CS200031,세탁소,-0.3493986521501221,0,2단계,0
