행정동_코드,행정동_코드_명,변수명,이유
11260600,중화1동,직장_인구_수,컬럼 없음
11260610,중화2동,직장_인구_수,컬럼 없음
11260620,묵1동,직장_인구_수,컬럼 없음
11260630,묵2동,직장_인구_수,컬럼 없음
11260655,망우본동,직장_인구_수,컬럼 없음
11260660,망우3동,직장_인구_수,컬럼 없음
11260680,신내1동,직장_인구_수,컬럼 없음
11260690,신내2동,직장_인구_수,컬럼 없음
11290525,성북동,직장_인구_수,컬럼 없음
11290555,삼선동,직장_인구_수,컬럼 없음
11290575,동선동,직장_인구_수,컬럼 없음
11290580,돈암1동,직장_인구_수,컬럼 없음
11290590,돈암2동,직장_인구_수,컬럼 없음
11290600,안암동,직장_인구_수,컬럼 없음
11290610,보문동,직장_인구_수,컬럼 없음
11290620,정릉1동,직장_인구_수,컬럼 없음
11290630,정릉2동,직장_인구_수,컬럼 없음
11290640,정릉3동,직장_인구_수,컬럼 없음
11290650,정릉4동,직장_인구_수,컬럼 없음
11290660,길음1동,직장_인구_수,컬럼 없음
11290685,길음2동,직장_인구_수,컬럼 없음
11290705,종암동,직장_인구_수,컬럼 없음
11290715,월곡1동,직장_인구_수,컬럼 없음
11290725,월곡2동,직장_인구_수,컬럼 없음
11290760,장위1동,직장_인구_수,컬럼 없음
11290770,장위2동,직장_인구_수,컬럼 없음
11290780,장위3동,직장_인구_수,컬럼 없음
11290810,석관동,직장_인구_수,컬럼 없음
11305534,삼양동,직장_인구_수,컬럼 없음
11305535,미아동,직장_인구_수,컬럼 없음
11305545,송중동,직장_인구_수,컬럼 없음
11305555,송천동,직장_인구_수,컬럼 없음
11305575,삼각산동,직장_인구_수,컬럼 없음
11305595,번1동,직장_인구_수,컬럼 없음
11305603,번2동,직장_인구_수,컬럼 없음
11305608,번3동,직장_인구_수,컬럼 없음
11305615,수유1동,직장_인구_수,컬럼 없음
11305625,수유2동,직장_인구_수,컬럼 없음
11305635,수유3동,직장_인구_수,컬럼 없음
11305645,우이동,직장_인구_수,컬럼 없음
11305660,인수동,직장_인구_수,컬럼 없음
11320511,창1동,직장_인구_수,컬럼 없음
11320512,창2동,직장_인구_수,컬럼 없음
11320513,창3동,직장_인구_수,컬럼 없음
11320514,창4동,직장_인구_수,컬럼 없음
11320515,창5동,직장_인구_수,컬럼 없음
11320521,도봉1동,직장_인구_수,컬럼 없음
11320522,도봉2동,직장_인구_수,컬럼 없음
11320660,쌍문1동,직장_인구_수,컬럼 없음
11320670,쌍문2동,직장_인구_수,컬럼 없음
11320680,쌍문3동,직장_인구_수,컬럼 없음
11320681,쌍문4동,직장_인구_수,컬럼 없음
11320690,방학1동,직장_인구_수,컬럼 없음
11320700,방학2동,직장_인구_수,컬럼 없음
11320710,방학3동,직장_인구_수,컬럼 없음
11350560,월계1동,직장_인구_수,컬럼 없음
11350570,월계2동,직장_인구_수,컬럼 없음
11350580,월계3동,직장_인구_수,컬럼 없음
11350595,공릉1동,직장_인구_수,컬럼 없음
11350600,공릉2동,직장_인구_수,컬럼 없음
11350611,하계1동,직장_인구_수,컬럼 없음
11350612,하계2동,직장_인구_수,컬럼 없음
11350619,중계본동,직장_인구_수,컬럼 없음
11350621,중계1동,직장_인구_수,컬럼 없음
11350624,중계4동,직장_인구_수,컬럼 없음
11350625,중계2?3동,총_유동인구_수,결측치 있음
11350625,중계2?3동,지출_총금액,결측치 있음
11350625,중계2?3동,직장_인구_수,컬럼 없음
11350625,중계2?3동,점포_수,결측치 있음
11350630,상계1동,직장_인구_수,컬럼 없음
11350640,상계2동,직장_인구_수,컬럼 없음
11350665,상계3?4동,총_유동인구_수,결측치 있음
11350665,상계3?4동,지출_총금액,결측치 있음
11350665,상계3?4동,직장_인구_수,컬럼 없음
11350665,상계3?4동,점포_수,결측치 있음
11350670,상계5동,직장_인구_수,컬럼 없음
11350695,상계6?7동,총_유동인구_수,결측치 있음
11350695,상계6?7동,지출_총금액,결측치 있음
11350695,상계6?7동,직장_인구_수,컬럼 없음
11350695,상계6?7동,점포_수,결측치 있음
11350700,상계8동,직장_인구_수,컬럼 없음
11350710,상계9동,직장_인구_수,컬럼 없음
11350720,상계10동,직장_인구_수,컬럼 없음
11380510,녹번동,직장_인구_수,컬럼 없음
11380520,불광1동,직장_인구_수,컬럼 없음
11380530,불광2동,직장_인구_수,컬럼 없음
11380551,갈현1동,직장_인구_수,컬럼 없음
11380552,갈현2동,직장_인구_수,컬럼 없음
11380560,구산동,직장_인구_수,컬럼 없음
11380570,대조동,직장_인구_수,컬럼 없음
11380580,응암1동,직장_인구_수,컬럼 없음
11380590,응암2동,직장_인구_수,컬럼 없음
11380600,응암3동,직장_인구_수,컬럼 없음
11380625,역촌동,직장_인구_수,컬럼 없음
11380631,신사1동,직장_인구_수,컬럼 없음
11380632,신사2동,직장_인구_수,컬럼 없음
11380640,증산동,직장_인구_수,컬럼 없음
11380650,수색동,직장_인구_수,컬럼 없음
11380690,진관동,직장_인구_수,컬럼 없음
11410520,천연동,직장_인구_수,컬럼 없음
11410555,북아현동,직장_인구_수,컬럼 없음
11410565,충현동,직장_인구_수,컬럼 없음
11410585,신촌동,직장_인구_수,컬럼 없음
11410615,연희동,직장_인구_수,컬럼 없음
11410620,홍제1동,직장_인구_수,컬럼 없음
11410640,홍제3동,직장_인구_수,컬럼 없음
11410655,홍제2동,직장_인구_수,컬럼 없음
11410660,홍은1동,직장_인구_수,컬럼 없음
11410685,홍은2동,직장_인구_수,컬럼 없음
11410690,남가좌1동,직장_인구_수,컬럼 없음
11410700,남가좌2동,직장_인구_수,컬럼 없음
11410710,북가좌1동,직장_인구_수,컬럼 없음
11410720,북가좌2동,직장_인구_수,컬럼 없음
11440555,아현동,직장_인구_수,컬럼 없음
11440565,공덕동,직장_인구_수,컬럼 없음
11440585,도화동,직장_인구_수,컬럼 없음
11440590,용강동,직장_인구_수,컬럼 없음
11440600,대흥동,직장_인구_수,컬럼 없음
11440610,염리동,직장_인구_수,컬럼 없음
11440630,신수동,직장_인구_수,컬럼 없음
11440655,서강동,직장_인구_수,컬럼 없음
11440660,서교동,직장_인구_수,컬럼 없음
11440680,합정동,직장_인구_수,컬럼 없음
11440690,망원1동,직장_인구_수,컬럼 없음
11440700,망원2동,직장_인구_수,컬럼 없음
11440710,연남동,직장_인구_수,컬럼 없음
11440720,성산1동,직장_인구_수,컬럼 없음
11440730,성산2동,직장_인구_수,컬럼 없음
11440740,상암동,직장_인구_수,컬럼 없음
11470510,목1동,직장_인구_수,컬럼 없음
11470520,목2동,직장_인구_수,컬럼 없음
11470530,목3동,직장_인구_수,컬럼 없음
11470540,목4동,직장_인구_수,컬럼 없음
11470550,목5동,직장_인구_수,컬럼 없음
11470560,신월1동,직장_인구_수,컬럼 없음
11470570,신월2동,직장_인구_수,컬럼 없음
11470580,신월3동,직장_인구_수,컬럼 없음
11470590,신월4동,직장_인구_수,컬럼 없음
11470600,신월5동,직장_인구_수,컬럼 없음
11470610,신월6동,직장_인구_수,컬럼 없음
11470611,신월7동,직장_인구_수,컬럼 없음
11470620,신정1동,직장_인구_수,컬럼 없음
11470630,신정2동,직장_인구_수,컬럼 없음
11470640,신정3동,직장_인구_수,컬럼 없음
11470650,신정4동,직장_인구_수,컬럼 없음
11470670,신정6동,직장_인구_수,컬럼 없음
11470680,신정7동,직장_인구_수,컬럼 없음
11500510,염창동,직장_인구_수,컬럼 없음
11500520,등촌1동,직장_인구_수,컬럼 없음
11500530,등촌2동,직장_인구_수,컬럼 없음
11500535,등촌3동,직장_인구_수,컬럼 없음
11500540,화곡1동,직장_인구_수,컬럼 없음
11500550,화곡2동,직장_인구_수,컬럼 없음
11500560,화곡3동,직장_인구_수,컬럼 없음
11500570,화곡4동,직장_인구_수,컬럼 없음
11500590,화곡본동,직장_인구_수,컬럼 없음
11500591,화곡6동,직장_인구_수,컬럼 없음
11500593,화곡8동,직장_인구_수,컬럼 없음
11500603,가양1동,직장_인구_수,컬럼 없음
11500604,가양2동,직장_인구_수,컬럼 없음
11500605,가양3동,직장_인구_수,컬럼 없음
11500611,발산1동,직장_인구_수,컬럼 없음
11500615,우장산동,직장_인구_수,컬럼 없음
11500620,공항동,직장_인구_수,컬럼 없음
11500630,방화1동,직장_인구_수,컬럼 없음
11500640,방화2동,직장_인구_수,컬럼 없음
11500641,방화3동,직장_인구_수,컬럼 없음
11530510,신도림동,직장_인구_수,컬럼 없음
11530520,구로1동,직장_인구_수,컬럼 없음
11530530,구로2동,직장_인구_수,컬럼 없음
11530540,구로3동,직장_인구_수,컬럼 없음
11530550,구로4동,직장_인구_수,컬럼 없음
11530560,구로5동,직장_인구_수,컬럼 없음
11530595,가리봉동,직장_인구_수,컬럼 없음
11530720,고척1동,직장_인구_수,컬럼 없음
11530730,고척2동,직장_인구_수,컬럼 없음
