행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-11-30,대전광역시,동구,중앙동,3626,2053,1573,22,36,58,41,48,89,112,91,203,173,110,283,223,113,336,428,199,627,1054,976,2030
3011053000,2024-11-30,대전광역시,동구,효동,24965,12218,12747,984,955,1939,1700,1581,3281,1291,1117,2408,1392,1389,2781,2171,2331,4502,2098,2064,4162,2582,3310,5892
3011054500,2024-11-30,대전광역시,동구,신인동,14775,7222,7553,607,566,1173,600,459,1059,667,627,1294,1145,1127,2272,1099,1038,2137,1141,1202,2343,1963,2534,4497
3011055100,2024-11-30,대전광역시,동구,판암1동,11863,5713,6150,312,268,580,426,391,817,622,572,1194,678,607,1285,754,732,1486,994,1071,2065,1927,2509,4436
3011055200,2024-11-30,대전광역시,동구,판암2동,7830,3768,4062,85,80,165,158,156,314,293,262,555,372,280,652,450,319,769,675,589,1264,1735,2376,4111
3011056000,2024-11-30,대전광역시,동구,용운동,21091,10658,10433,724,683,1407,835,833,1668,1674,1503,3177,1503,1286,2789,1466,1343,2809,1802,1737,3539,2654,3048,5702
3011058500,2024-11-30,대전광역시,동구,대동,13711,6878,6833,522,455,977,767,714,1481,773,652,1425,770,740,1510,1106,1062,2168,1172,1109,2281,1768,2100,3868
3011059000,2024-11-30,대전광역시,동구,자양동,10874,5777,5097,126,135,261,373,437,810,1786,1404,3190,590,390,980,612,425,1037,830,657,1487,1460,1649,3109
3011062000,2024-11-30,대전광역시,동구,가양1동,12780,6665,6115,238,256,494,522,497,1019,1035,760,1795,670,523,1193,909,779,1688,1207,977,2184,2084,2323,4407
3011063000,2024-11-30,대전광역시,동구,가양2동,18610,9318,9292,398,336,734,785,768,1553,1507,1505,3012,1136,847,1983,1235,1162,2397,1682,1592,3274,2575,3082,5657
3011064000,2024-11-30,대전광역시,동구,용전동,19960,10249,9711,382,360,742,675,654,1329,1897,1922,3819,1651,1193,2844,1501,1291,2792,1734,1543,3277,2409,2748,5157
