행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3017052000,2024-01-31,대전광역시,서구,도마1동,18829,9457,9372,619,601,1220,619,570,1189,1530,1277,2807,1392,1193,2585,1235,1074,2309,1439,1500,2939,2623,3157,5780
3017053000,2024-01-31,대전광역시,서구,도마2동,16516,8283,8233,370,300,670,623,596,1219,1176,960,2136,965,769,1734,1073,937,2010,1399,1443,2842,2677,3228,5905
3017053500,2024-01-31,대전광역시,서구,정림동,15354,7447,7907,418,355,773,706,603,1309,865,756,1621,784,733,1517,1000,980,1980,1296,1502,2798,2378,2978,5356
3017054000,2024-01-31,대전광역시,서구,변동,13459,6807,6652,355,322,677,518,456,974,822,715,1537,908,724,1632,946,878,1824,1209,1138,2347,2049,2419,4468
3017055000,2024-01-31,대전광역시,서구,용문동,11911,5669,6242,219,253,472,279,256,535,1021,1239,2260,1134,989,2123,846,770,1616,817,903,1720,1353,1832,3185
3017055500,2024-01-31,대전광역시,서구,탄방동,26705,12815,13890,750,645,1395,1144,1047,2191,2320,2818,5138,2360,2280,4640,1975,2174,4149,2035,2182,4217,2231,2744,4975
3017056000,2024-01-31,대전광역시,서구,괴정동,18777,9183,9594,424,415,839,619,595,1214,1897,2436,4333,2061,1681,3742,1368,1223,2591,1207,1308,2515,1607,1936,3543
3017057000,2024-01-31,대전광역시,서구,가장동,10944,5260,5684,312,272,584,469,487,956,676,740,1416,672,583,1255,798,773,1571,887,1017,1904,1446,1812,3258
3017057500,2024-01-31,대전광역시,서구,내동,22935,11034,11901,722,689,1411,1189,1246,2435,1477,1396,2873,1272,1196,2468,1696,1844,3540,1868,2062,3930,2810,3468,6278
3017058100,2024-01-31,대전광역시,서구,갈마1동,21231,10797,10434,440,422,862,774,690,1464,2127,2058,4185,2011,1420,3431,1477,1432,2909,1610,1622,3232,2357,2790,5147
3017058200,2024-01-31,대전광역시,서구,갈마2동,24028,12109,11919,535,506,1041,875,857,1732,2536,2617,5153,2403,1882,4285,1746,1593,3339,1891,2030,3921,2123,2434,4557
3017058600,2024-01-31,대전광역시,서구,월평1동,11291,6092,5199,167,143,310,267,251,518,1575,1363,2938,1223,791,2014,800,567,1367,919,843,1762,1141,1241,2382
3017058700,2024-01-31,대전광역시,서구,월평2동,13670,6472,7198,311,297,608,582,560,1142,813,693,1506,725,676,1401,737,858,1595,1154,1353,2507,2150,2761,4911
3017058800,2024-01-31,대전광역시,서구,월평3동,20479,9977,10502,779,685,1464,1292,1131,2423,1278,991,2269,1177,1283,2460,1390,1668,3058,1668,2001,3669,2393,2743,5136
3017059000,2024-01-31,대전광역시,서구,가수원동,10436,5091,5345,249,233,482,463,449,912,666,503,1169,538,529,1067,671,664,1335,922,970,1892,1582,1997,3579
3017059300,2024-01-31,대전광역시,서구,도안동,36605,17977,18628,2593,2507,5100,2513,2395,4908,1983,2107,4090,2769,3149,5918,3779,3944,7723,2403,2391,4794,1937,2135,4072
3017059600,2024-01-31,대전광역시,서구,관저1동,14886,7007,7879,480,459,939,747,693,1440,1220,1328,2548,921,978,1899,933,1144,2077,1210,1457,2667,1496,1820,3316
3017059700,2024-01-31,대전광역시,서구,관저2동,48608,23653,24955,2474,2416,4890,2979,2897,5876,3223,3136,6359,3376,3467,6843,4256,4660,8916,4008,4240,8248,3337,4139,7476
3017060000,2024-01-31,대전광역시,서구,기성동,3453,1777,1676,49,27,76,81,77,158,129,85,214,107,102,209,210,149,359,323,255,578,878,981,1859
3017063000,2024-01-31,대전광역시,서구,둔산1동,16405,8058,8347,671,642,1313,1736,1585,3321,773,662,1435,501,653,1154,1628,2091,3719,1435,1266,2701,1314,1448,2762
3017064000,2024-01-31,대전광역시,서구,둔산2동,35163,16982,18181,1403,1285,2688,1916,1778,3694,2461,2592,5053,2670,2710,5380,2525,3016,5541,3009,3493,6502,2998,3307,6305
3017065000,2024-01-31,대전광역시,서구,만년동,12266,6236,6030,379,380,759,577,528,1105,1295,886,2181,1086,913,1999,793,944,1737,1044,1150,2194,1062,1229,2291
3017066000,2024-01-31,대전광역시,서구,둔산3동,19067,9176,9891,505,451,956,1450,1275,2725,1220,1077,2297,769,778,1547,1309,1700,3009,1727,1790,3517,2196,2820,5016
3020052000,2024-01-31,대전광역시,유성구,진잠동,25309,12906,12403,841,775,1616,1228,1083,2311,1752,1426,3178,1658,1364,3022,1972,1880,3852,2462,2436,4898,2993,3439,6432
3020052600,2024-01-31,대전광역시,유성구,학하동,19245,9925,9320,974,919,1893,748,712,1460,1754,1256,3010,1682,1585,3267,1525,1403,2928,1330,1484,2814,1912,1961,3873
3020052700,2024-01-31,대전광역시,유성구,상대동,25355,12344,13011,1462,1425,2887,1813,1757,3570,1298,1131,2429,1387,1740,3127,2324,2595,4919,2015,2138,4153,2045,2225,4270
3020053000,2024-01-31,대전광역시,유성구,온천1동,26264,13714,12550,389,360,749,445,425,870,3159,3188,6347,3158,2304,5462,1762,1339,3101,1990,1879,3869,2811,3055,5866
3020054000,2024-01-31,대전광역시,유성구,온천2동,40226,21181,19045,1464,1434,2898,1560,1473,3033,5527,3892,9419,3323,2561,5884,2749,2577,5326,2713,2918,5631,3845,4190,8035
3020054600,2024-01-31,대전광역시,유성구,노은1동,21195,10504,10691,920,835,1755,1479,1395,2874,1311,1274,2585,1547,1464,3011,1823,2030,3853,1773,1734,3507,1651,1959,3610
3020054700,2024-01-31,대전광역시,유성구,노은2동,23659,11585,12074,909,852,1761,1613,1533,3146,1528,1424,2952,1407,1332,2739,1921,2252,4173,2090,2175,4265,2117,2506,4623
3020054800,2024-01-31,대전광역시,유성구,노은3동,36621,17964,18657,2075,1962,4037,2407,2280,4687,1823,1644,3467,2414,2637,5051,3526,3736,7262,2750,2980,5730,2969,3418,6387
3020055000,2024-01-31,대전광역시,유성구,신성동,25780,13579,12201,1256,1137,2393,1449,1218,2667,2249,1934,4183,2962,2216,5178,1993,2018,4011,1836,1779,3615,1834,1899,3733
3020057000,2024-01-31,대전광역시,유성구,전민동,26344,13557,12787,1149,1051,2200,1485,1440,2925,2169,1686,3855,2513,1946,4459,1920,2039,3959,2063,2225,4288,2258,2400,4658
3020058000,2024-01-31,대전광역시,유성구,구즉동,33279,17069,16210,1507,1472,2979,1618,1468,3086,2449,2011,4460,3382,2814,6196,2695,2572,5267,2823,2747,5570,2595,3126,5721
3020060000,2024-01-31,대전광역시,유성구,관평동,33911,17311,16600,1934,1872,3806,2588,2354,4942,2169,1940,4109,2469,2366,4835,3217,3407,6624,2983,2646,5629,1951,2015,3966
3020061000,2024-01-31,대전광역시,유성구,원신흥동,30052,14389,15663,1799,1572,3371,1541,1437,2978,1485,1607,3092,2626,2798,5424,2645,2847,5492,2036,2357,4393,2257,3045,5302
3023051000,2024-01-31,대전광역시,대덕구,오정동,13821,7246,6575,230,230,460,479,417,896,1090,1017,2107,825,574,1399,929,716,1645,1349,1108,2457,2344,2513,4857
3023052000,2024-01-31,대전광역시,대덕구,대화동,6465,3367,3098,107,85,192,225,189,414,353,292,645,393,311,704,509,408,917,675,570,1245,1105,1243,2348
3023052500,2024-01-31,대전광역시,대덕구,회덕동,11412,5842,5570,228,228,456,452,379,831,608,503,1111,638,462,1100,732,639,1371,1148,1028,2176,2036,2331,4367
3023053300,2024-01-31,대전광역시,대덕구,비래동,15394,7641,7753,352,319,671,718,649,1367,1007,870,1877,814,622,1436,1028,1034,2062,1543,1593,3136,2179,2666,4845
3023054300,2024-01-31,대전광역시,대덕구,송촌동,26196,12973,13223,764,772,1536,1638,1588,3226,1988,1684,3672,1297,1169,2466,1885,2175,4060,2809,2963,5772,2592,2872,5464
3023054600,2024-01-31,대전광역시,대덕구,중리동,18688,9714,8974,342,334,676,708,619,1327,1465,1209,2674,1206,862,2068,1415,1177,2592,1954,1734,3688,2624,3039,5663
3023055000,2024-01-31,대전광역시,대덕구,신탄진동,14566,7532,7034,426,436,862,547,471,1018,964,741,1705,1142,893,2035,1031,897,1928,1415,1323,2738,2007,2273,4280
3023056000,2024-01-31,대전광역시,대덕구,석봉동,16252,8326,7926,866,792,1658,861,795,1656,961,770,1731,1344,1274,2618,1494,1273,2767,1289,1354,2643,1511,1668,3179
3023057000,2024-01-31,대전광역시,대덕구,덕암동,13039,7024,6015,290,247,537,489,444,933,1092,776,1868,1021,624,1645,919,784,1703,1433,1166,2599,1780,1974,3754
3023058000,2024-01-31,대전광역시,대덕구,목상동,6151,3340,2811,169,147,316,253,269,522,479,383,862,588,342,930,580,429,1009,632,510,1142,639,731,1370
3023060000,2024-01-31,대전광역시,대덕구,법1동,12476,5831,6645,381,384,765,471,468,939,698,626,1324,764,742,1506,793,777,1570,1070,1323,2393,1654,2325,3979
3023061000,2024-01-31,대전광역시,대덕구,법2동,15123,7354,7769,400,341,741,665,596,1261,969,757,1726,738,634,1372,891,1010,1901,1408,1631,3039,2283,2800,5083
