행정기관코드,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,대전광역시,동구,중앙동,3659,2078,1581,22,36,58,42,44,86,114,96,210,173,110,283,230,114,344,441,203,644,1056,978,2034
3011053000,대전광역시,동구,효동,24659,12083,12576,984,943,1927,1698,1571,3269,1285,1116,2401,1359,1333,2692,2135,2340,4475,2078,2029,4107,2544,3244,5788
3011054500,대전광역시,동구,신인동,14911,7284,7627,618,583,1201,607,464,1071,663,654,1317,1156,1133,2289,1121,1038,2159,1138,1206,2344,1981,2549,4530
3011055100,대전광역시,동구,판암1동,11888,5730,6158,311,276,587,428,394,822,637,587,1224,679,605,1284,759,728,1487,1005,1077,2082,1911,2491,4402
3011055200,대전광역시,동구,판암2동,7875,3795,4080,87,79,166,157,157,314,297,262,559,375,274,649,450,323,773,690,601,1291,1739,2384,4123
3011056000,대전광역시,동구,용운동,21163,10679,10484,740,688,1428,824,856,1680,1693,1508,3201,1495,1287,2782,1486,1362,2848,1806,1749,3555,2635,3034,5669
3011058500,대전광역시,동구,대동,13754,6885,6869,522,464,986,765,707,1472,760,661,1421,781,746,1527,1107,1069,2176,1174,1115,2289,1776,2107,3883
3011059000,대전광역시,동구,자양동,10920,5829,5091,129,135,264,385,473,858,1809,1367,3176,595,385,980,622,426,1048,829,656,1485,1460,1649,3109
3011062000,대전광역시,동구,가양1동,12697,6642,6055,240,259,499,523,501,1024,1033,724,1757,664,523,1187,908,765,1673,1200,959,2159,2074,2324,4398
3011063000,대전광역시,동구,가양2동,18687,9339,9348,410,337,747,798,796,1594,1524,1499,3023,1147,872,2019,1230,1173,2403,1667,1605,3272,2563,3066,5629
3011064000,대전광역시,동구,용전동,20036,10277,9759,387,384,771,684,662,1346,1911,1935,3846,1675,1212,2887,1490,1284,2774,1744,1563,3307,2386,2719,5105
