행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,110세이상 남자,110세이상 여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-03-31,대전광역시,동구,중앙동,3780,2138,1642,0,0,29,43,72,43,50,93,113,96,209,174,117,291,262,119,381,448,216,664,1069,1001,2070
3011053000,2024-03-31,대전광역시,동구,효동,22668,11073,11595,0,0,830,835,1665,1634,1545,3179,1222,1032,2254,1025,1028,2053,2009,2251,4260,1952,1858,3810,2401,3046,5447
3011054500,2024-03-31,대전광역시,동구,신인동,15199,7410,7789,0,0,661,637,1298,617,475,1092,654,694,1348,1215,1165,2380,1168,1062,2230,1133,1226,2359,1962,2530,4492
3011055100,2024-03-31,대전광역시,동구,판암1동,12063,5839,6224,0,0,347,293,640,442,406,848,673,579,1252,686,628,1314,786,757,1543,1029,1103,2132,1876,2458,4334
3011055200,2024-03-31,대전광역시,동구,판암2동,7979,3842,4137,0,0,97,86,183,154,154,308,325,273,598,373,277,650,469,339,808,693,626,1319,1731,2382,4113
3011056000,2024-03-31,대전광역시,동구,용운동,21365,10779,10586,0,0,780,715,1495,857,883,1740,1694,1490,3184,1494,1281,2775,1539,1435,2974,1830,1782,3612,2585,3000,5585
3011058500,2024-03-31,대전광역시,동구,대동,13963,7010,6953,0,1,548,512,1060,761,683,1444,801,690,1491,813,765,1578,1137,1102,2239,1174,1123,2297,1776,2077,3853
3011059000,2024-03-31,대전광역시,동구,자양동,10898,5818,5080,0,1,122,144,266,393,519,912,1752,1267,3019,595,382,977,645,435,1080,835,681,1516,1476,1651,3127
3011062000,2024-03-31,대전광역시,동구,가양1동,12857,6735,6122,0,0,274,267,541,525,505,1030,1052,735,1787,675,527,1202,944,814,1758,1201,970,2171,2064,2304,4368
3011063000,2024-03-31,대전광역시,동구,가양2동,18837,9420,9417,0,0,440,359,799,841,823,1664,1490,1499,2989,1176,892,2068,1276,1197,2473,1678,1635,3313,2519,3012,5531
3011064000,2024-03-31,대전광역시,동구,용전동,20209,10359,9850,0,0,426,417,843,677,695,1372,1919,1989,3908,1700,1193,2893,1532,1299,2831,1746,1576,3322,2359,2681,5040
3011066500,2024-03-31,대전광역시,동구,성남동,10936,5392,5544,0,0,368,308,676,377,403,780,594,517,1111,621,551,1172,787,733,1520,961,908,1869,1684,2124,3808
3011067000,2024-03-31,대전광역시,동구,홍도동,11292,5761,5531,0,0,244,212,456,407,380,787,1085,1042,2127,789,579,1368,800,621,1421,973,908,1881,1463,1789,3252
3011069500,2024-03-31,대전광역시,동구,삼성동,13093,6651,6442,0,0,281,261,542,535,505,1040,704,544,1248,637,545,1182,936,814,1750,1247,1087,2334,2311,2686,4997
