행정기관코드,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,대전광역시,동구,중앙동,3694,2084,1610,27,40,67,40,48,88,114,96,210,170,112,282,245,124,369,435,210,645,1053,980,2033
3011053000,대전광역시,동구,효동,22553,11004,11549,805,799,1604,1626,1537,3163,1212,1027,2239,1007,1002,2009,1956,2210,4166,1978,1900,3878,2420,3074,5494
3011054500,대전광역시,동구,신인동,15134,7393,7741,650,631,1281,620,466,1086,648,645,1293,1190,1173,2363,1156,1060,2216,1146,1211,2357,1983,2555,4538
3011055100,대전광역시,동구,판암1동,12046,5807,6239,338,297,635,434,391,825,650,601,1251,688,621,1309,780,741,1521,1021,1098,2119,1896,2490,4386
3011055200,대전광역시,동구,판암2동,7904,3792,4112,89,83,172,158,154,312,296,262,558,365,275,640,455,336,791,689,605,1294,1740,2397,4137
3011056000,대전광역시,동구,용운동,21346,10771,10575,776,707,1483,844,872,1716,1688,1491,3179,1511,1304,2815,1513,1396,2909,1818,1775,3593,2621,3030,5651
3011058500,대전광역시,동구,대동,13873,6965,6908,536,472,1008,765,707,1472,782,663,1445,796,758,1554,1126,1086,2212,1180,1119,2299,1780,2103,3883
3011059000,대전광역시,동구,자양동,10899,5827,5072,129,141,270,387,458,845,1775,1333,3108,595,384,979,629,430,1059,835,673,1508,1477,1653,3130
3011062000,대전광역시,동구,가양1동,12757,6677,6080,250,263,513,521,508,1029,1043,725,1768,669,527,1196,913,778,1691,1213,967,2180,2068,2312,4380
3011063000,대전광역시,동구,가양2동,18792,9396,9396,413,349,762,816,819,1635,1537,1476,3013,1168,893,2061,1254,1181,2435,1663,1636,3299,2545,3042,5587
3011064000,대전광역시,동구,용전동,20124,10316,9808,409,398,807,677,676,1353,1915,1936,3851,1685,1233,2918,1517,1279,2796,1743,1579,3322,2370,2707,5077
3011066500,대전광역시,동구,성남동,10871,5369,5502,348,300,648,379,387,766,575,512,1087,616,548,1164,772,728,1500,972,894,1866,1707,2133,3840
3011067000,대전광역시,동구,홍도동,11137,5706,5431,247,205,452,394,367,761,1082,1013,2095,778,579,1357,775,604,1379,980,886,1866,1450,1777,3227
3011069500,대전광역시,동구,삼성동,13046,6617,6429,287,258,545,529,486,1015,690,534,1224,641,565,1206,911,789,1700,1247,1096,2343,2312,2701,5013
3011072500,대전광역시,동구,대청동,2206,1155,1051,18,20,38,40,60,100,92,61,153,82,39,121,103,71,174,235,169,404,585,631,1216
3011074000,대전광역시,동구,산내동,19427,9766,9661,641,584,1225,1354,1167,2521,941,805,1746,813,772,1585,1581,1662,3243,1803,1591,3394,2633,3080,5713
3014053500,대전광역시,중구,은행선화동,15777,8017,7760,476,515,991,495,570,1065,1073,1230,2303,1365,1233,2598,1326,1065,2391,1376,1094,2470,1906,2053,3959
3014055000,대전광역시,중구,목동,17661,8443,9218,867,873,1740,1372,1456,2828,931,899,1830,957,1120,2077,1652,1882,3534,1477,1389,2866,1187,1599,2786
