행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,110세이상 남자,110세이상 여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3014070000,2024-02-29,대전광역시,중구,유천1동,5920,3044,2876,0,0,124,108,232,147,128,275,367,322,689,420,327,747,452,344,796,558,480,1038,976,1167,2143
3014071000,2024-02-29,대전광역시,중구,유천2동,13263,6540,6723,0,0,332,326,658,485,426,911,836,799,1635,732,693,1425,906,824,1730,1038,1067,2105,2211,2588,4799
3014072000,2024-02-29,대전광역시,중구,문화1동,20727,10036,10691,0,0,725,626,1351,1323,1222,2545,1333,1271,2604,887,993,1880,1544,1779,3323,1792,1820,3612,2432,2980,5412
3014073000,2024-02-29,대전광역시,중구,문화2동,11754,5674,6080,0,0,207,203,410,481,399,880,649,558,1207,666,517,1183,752,716,1468,1090,1125,2215,1829,2562,4391
3014074000,2024-02-29,대전광역시,중구,산성동,25877,13115,12762,0,0,509,528,1037,1058,946,2004,1510,1178,2688,1235,1023,2258,1761,1607,3368,2519,2445,4964,4523,5035,9558
3017051000,2024-02-29,대전광역시,서구,복수동,21654,10703,10951,0,0,781,799,1580,1427,1400,2827,1406,1250,2656,1097,1075,2172,1800,1970,3770,1943,1908,3851,2249,2549,4798
3017052000,2024-02-29,대전광역시,서구,도마1동,18818,9474,9344,0,0,608,592,1200,630,587,1217,1553,1250,2803,1373,1184,2557,1241,1068,2309,1441,1504,2945,2628,3159,5787
3017053000,2024-02-29,대전광역시,서구,도마2동,16461,8255,8206,0,0,366,295,661,621,599,1220,1168,944,2112,963,756,1719,1062,926,1988,1399,1436,2835,2676,3250,5926
3017053500,2024-02-29,대전광역시,서구,정림동,15310,7415,7895,0,0,408,351,759,704,594,1298,862,756,1618,770,725,1495,991,974,1965,1295,1510,2805,2385,2985,5370
3017054000,2024-02-29,대전광역시,서구,변동,13401,6764,6637,0,0,360,316,676,509,448,957,812,709,1521,893,720,1613,935,885,1820,1209,1132,2341,2046,2427,4473
3017055000,2024-02-29,대전광역시,서구,용문동,11934,5678,6256,0,0,220,251,471,272,255,527,1020,1234,2254,1130,991,2121,855,780,1635,817,909,1726,1364,1836,3200
3017055500,2024-02-29,대전광역시,서구,탄방동,26791,12858,13933,0,0,744,650,1394,1152,1044,2196,2331,2838,5169,2381,2285,4666,1982,2172,4154,2030,2189,4219,2238,2755,4993
3017056000,2024-02-29,대전광역시,서구,괴정동,18778,9188,9590,0,0,425,416,841,615,596,1211,1901,2442,4343,2063,1656,3719,1371,1229,2600,1204,1311,2515,1609,1940,3549
3017057000,2024-02-29,대전광역시,서구,가장동,10920,5252,5668,0,0,304,269,573,464,482,946,672,733,1405,667,574,1241,801,768,1569,892,1021,1913,1452,1821,3273
3017057500,2024-02-29,대전광역시,서구,내동,22912,11003,11909,0,0,720,680,1400,1180,1250,2430,1456,1403,2859,1267,1195,2462,1682,1828,3510,1882,2071,3953,2816,3482,6298
3017058100,2024-02-29,대전광역시,서구,갈마1동,21229,10796,10433,1,0,439,413,852,772,695,1467,2137,2053,4190,1995,1425,3420,1469,1420,2889,1617,1624,3241,2366,2803,5169
3017058200,2024-02-29,대전광역시,서구,갈마2동,24065,12126,11939,0,0,540,502,1042,864,840,1704,2550,2658,5208,2407,1885,4292,1729,1588,3317,1902,2040,3942,2134,2426,4560
3017058600,2024-02-29,대전광역시,서구,월평1동,11307,6097,5210,0,0,162,144,306,264,248,512,1582,1372,2954,1233,794,2027,800,561,1361,910,848,1758,1146,1243,2389
3017058700,2024-02-29,대전광역시,서구,월평2동,13623,6448,7175,0,0,309,291,600,577,566,1143,809,680,1489,723,668,1391,732,857,1589,1145,1347,2492,2153,2766,4919
3017058800,2024-02-29,대전광역시,서구,월평3동,20513,10006,10507,0,0,784,686,1470,1290,1134,2424,1276,974,2250,1174,1282,2456,1400,1665,3065,1672,2013,3685,2410,2753,5163
3017059000,2024-02-29,대전광역시,서구,가수원동,10435,5093,5342,0,0,249,233,482,463,443,906,650,498,1148,550,532,1082,669,664,1333,916,973,1889,1596,1999,3595
3017059300,2024-02-29,대전광역시,서구,도안동,36628,17973,18655,0,0,2581,2480,5061,2523,2432,4955,1971,2107,4078,2752,3136,5888,3776,3952,7728,2423,2398,4821,1947,2150,4097
3017059600,2024-02-29,대전광역시,서구,관저1동,14921,7020,7901,0,0,487,458,945,746,708,1454,1201,1326,2527,929,986,1915,928,1136,2064,1228,1458,2686,1501,1829,3330
3017059700,2024-02-29,대전광역시,서구,관저2동,48582,23659,24923,0,0,2458,2378,4836,2981,2913,5894,3220,3112,6332,3363,3443,6806,4262,4674,8936,4019,4253,8272,3356,4150,7506
3017060000,2024-02-29,대전광역시,서구,기성동,3451,1774,1677,0,0,49,27,76,79,77,156,123,87,210,108,102,210,209,146,355,323,253,576,883,985,1868
3017063000,2024-02-29,대전광역시,서구,둔산1동,16417,8071,8346,0,0,690,662,1352,1726,1568,3294,759,652,1411,506,659,1165,1652,2099,3751,1421,1266,2687,1317,1440,2757
3017064000,2024-02-29,대전광역시,서구,둔산2동,35241,17026,18215,0,0,1405,1298,2703,1915,1761,3676,2457,2612,5069,2703,2718,5421,2535,3021,5556,2998,3492,6490,3013,3313,6326
3017065000,2024-02-29,대전광역시,서구,만년동,12303,6253,6050,0,0,381,378,759,576,531,1107,1304,895,2199,1089,915,2004,787,945,1732,1052,1153,2205,1064,1233,2297
3017066000,2024-02-29,대전광역시,서구,둔산3동,19070,9180,9890,0,0,507,464,971,1445,1262,2707,1199,1059,2258,776,776,1552,1333,1702,3035,1715,1794,3509,2205,2833,5038
3020052000,2024-02-29,대전광역시,유성구,진잠동,25425,12966,12459,0,0,842,779,1621,1238,1092,2330,1740,1431,3171,1693,1385,3078,1978,1863,3841,2467,2457,4924,3008,3452,6460
3020052600,2024-02-29,대전광역시,유성구,학하동,19333,10001,9332,0,0,970,910,1880,752,717,1469,1796,1269,3065,1693,1565,3258,1526,1414,2940,1346,1490,2836,1918,1967,3885
3020052700,2024-02-29,대전광역시,유성구,상대동,25383,12356,13027,0,0,1462,1422,2884,1813,1754,3567,1289,1141,2430,1377,1723,3100,2334,2589,4923,2023,2154,4177,2058,2244,4302
3020053000,2024-02-29,대전광역시,유성구,온천1동,26325,13758,12567,0,0,391,356,747,452,433,885,3167,3206,6373,3170,2295,5465,1767,1333,3100,1991,1877,3868,2820,3067,5887
3020054000,2024-02-29,대전광역시,유성구,온천2동,40309,21220,19089,0,0,1445,1436,2881,1590,1488,3078,5588,3958,9546,3284,2524,5808,2750,2576,5326,2708,2902,5610,3855,4205,8060
3020054600,2024-02-29,대전광역시,유성구,노은1동,21145,10472,10673,0,0,920,826,1746,1460,1381,2841,1310,1266,2576,1540,1459,2999,1816,2027,3843,1762,1743,3505,1664,1971,3635
3020054700,2024-02-29,대전광역시,유성구,노은2동,23571,11547,12024,0,0,893,853,1746,1594,1522,3116,1537,1399,2936,1394,1319,2713,1916,2232,4148,2078,2180,4258,2135,2519,4654
3020054800,2024-02-29,대전광역시,유성구,노은3동,36592,17922,18670,0,0,2057,1943,4000,2389,2282,4671,1811,1649,3460,2402,2629,5031,3514,3730,7244,2766,3002,5768,2983,3435,6418
