행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,110세이상 남자,110세이상 여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-04-30,대전광역시,동구,중앙동,3768,2131,1637,0,0,28,41,69,44,49,93,112,96,208,173,115,288,256,117,373,448,219,667,1070,1000,2070
3011053000,2024-04-30,대전광역시,동구,효동,22605,11040,11565,0,0,823,833,1656,1630,1531,3161,1215,1031,2246,1019,1014,2033,1990,2239,4229,1961,1864,3825,2402,3053,5455
3011054500,2024-04-30,대전광역시,동구,신인동,15190,7404,7786,0,0,659,647,1306,617,472,1089,649,676,1325,1211,1170,2381,1163,1055,2218,1142,1228,2370,1963,2538,4501
3011055100,2024-04-30,대전광역시,동구,판암1동,12050,5835,6215,0,0,343,297,640,438,398,836,664,577,1241,692,628,1320,790,748,1538,1023,1097,2120,1885,2470,4355
3011055200,2024-04-30,대전광역시,동구,판암2동,7965,3833,4132,0,0,96,84,180,154,156,310,315,270,585,379,277,656,462,342,804,703,629,1332,1724,2374,4098
3011056000,2024-04-30,대전광역시,동구,용운동,21352,10777,10575,0,0,771,706,1477,857,878,1735,1705,1490,3195,1486,1289,2775,1521,1422,2943,1836,1779,3615,2601,3011,5612
3011058500,2024-04-30,대전광역시,동구,대동,13963,7009,6954,0,1,538,504,1042,771,689,1460,798,689,1487,811,763,1574,1134,1098,2232,1179,1122,2301,1778,2088,3866
3011059000,2024-04-30,대전광역시,동구,자양동,10885,5817,5068,0,1,125,143,268,393,505,898,1757,1269,3026,596,379,975,646,432,1078,830,682,1512,1470,1657,3127
3011062000,2024-04-30,대전광역시,동구,가양1동,12845,6727,6118,0,0,265,268,533,528,505,1033,1051,742,1793,677,522,1199,936,811,1747,1204,971,2175,2066,2299,4365
3011063000,2024-04-30,대전광역시,동구,가양2동,18820,9412,9408,0,0,430,354,784,836,827,1663,1508,1484,2992,1166,892,2058,1264,1196,2460,1680,1638,3318,2528,3017,5545
