행정기관코드,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3017065000,대전광역시,서구,만년동,12148,6196,5952,367,360,727,570,505,1075,1281,875,2156,1077,917,1994,760,915,1675,1056,1141,2197,1085,1239,2324
3017066000,대전광역시,서구,둔산3동,18932,9086,9846,486,449,935,1429,1267,2696,1161,1041,2202,780,773,1553,1301,1676,2977,1688,1789,3477,2241,2851,5092
3020052000,대전광역시,유성구,진잠동,25445,12976,12469,826,747,1573,1218,1089,2307,1714,1409,3123,1729,1403,3132,1957,1840,3797,2463,2475,4938,3069,3506,6575
3020052600,대전광역시,유성구,학하동,19483,10098,9385,953,901,1854,755,718,1473,1846,1295,3141,1694,1587,3281,1543,1394,2937,1346,1480,2826,1961,2010,3971
3020052700,대전광역시,유성구,상대동,25233,12248,12985,1411,1371,2782,1822,1759,3581,1256,1141,2397,1324,1692,3016,2299,2576,4875,2056,2172,4228,2080,2274,4354
3020053000,대전광역시,유성구,온천1동,26651,13888,12763,385,362,747,452,445,897,3169,3295,6464,3267,2352,5619,1775,1313,3088,1957,1852,3809,2883,3144,6027
3020054000,대전광역시,유성구,온천2동,40535,21332,19203,1414,1409,2823,1587,1484,3071,5717,4099,9816,3297,2521,5818,2727,2543,5270,2697,2885,5582,3893,4262,8155
3020054600,대전광역시,유성구,노은1동,21024,10456,10568,870,803,1673,1458,1336,2794,1321,1256,2577,1563,1439,3002,1773,1998,3771,1778,1753,3531,1693,1983,3676
3020054700,대전광역시,유성구,노은2동,23515,11508,12007,871,833,1704,1581,1522,3103,1529,1365,2894,1401,1351,2752,1876,2181,4057,2095,2209,4304,2155,2546,4701
3020054800,대전광역시,유성구,노은3동,36435,17857,18578,2005,1860,3865,2387,2285,4672,1798,1659,3457,2384,2565,4949,3455,3708,7163,2799,3012,5811,3029,3489,6518
3020055000,대전광역시,유성구,신성동,25611,13465,12146,1231,1135,2366,1423,1200,2623,2190,1932,4122,2934,2179,5113,1972,1932,3904,1840,1808,3648,1875,1960,3835
3020057000,대전광역시,유성구,전민동,25945,13385,12560,1126,1010,2136,1433,1388,2821,2117,1632,3749,2472,1912,4384,1911,2001,3912,2026,2187,4213,2300,2430,4730
3020058000,대전광역시,유성구,구즉동,32901,16851,16050,1456,1409,2865,1577,1451,3028,2410,1950,4360,3335,2797,6132,2636,2490,5126,2787,2763,5550,2650,3190,5840
3020060000,대전광역시,유성구,관평동,36411,18590,17821,2027,1973,4000,2595,2401,4996,2347,2115,4462,3007,2765,5772,3348,3505,6853,3162,2899,6061,2104,2163,4267
3020061000,대전광역시,유성구,원신흥동,30099,14391,15708,1768,1553,3321,1577,1468,3045,1480,1592,3072,2569,2749,5318,2648,2859,5507,2034,2367,4401,2315,3120,5435
3023051000,대전광역시,대덕구,오정동,13824,7214,6610,227,213,440,483,439,922,1091,1052,2143,815,575,1390,897,688,1585,1363,1086,2449,2338,2557,4895
3023052000,대전광역시,대덕구,대화동,6326,3306,3020,100,87,187,225,172,397,350,279,629,385,285,670,472,394,866,667,559,1226,1107,1244,2351
3023052500,대전광역시,대덕구,회덕동,12751,6531,6220,309,280,589,475,400,875,654,575,1229,856,625,1481,825,710,1535,1231,1182,2413,2181,2448,4629
3023053300,대전광역시,대덕구,비래동,15161,7513,7648,335,295,630,685,615,1300,984,860,1844,788,599,1387,980,981,1961,1529,1614,3143,2212,2684,4896
3023054300,대전광역시,대덕구,송촌동,25850,12811,13039,726,723,1449,1601,1558,3159,1927,1607,3534,1289,1164,2453,1806,2099,3905,2794,2950,5744,2668,2938,5606
3023054600,대전광역시,대덕구,중리동,18461,9626,8835,324,312,636,683,589,1272,1421,1174,2595,1205,849,2054,1343,1117,2460,1948,1705,3653,2702,3089,5791
3023055000,대전광역시,대덕구,신탄진동,15584,8010,7574,444,470,914,573,493,1066,1013,781,1794,1251,998,2249,1087,976,2063,1519,1452,2971,2123,2404,4527
3023056000,대전광역시,대덕구,석봉동,16064,8235,7829,826,759,1585,871,786,1657,932,741,1673,1309,1227,2536,1488,1287,2775,1283,1339,2622,1526,1690,3216
3023057000,대전광역시,대덕구,덕암동,12790,6879,5911,269,241,510,463,431,894,1054,746,1800,1007,623,1630,891,756,1647,1388,1122,2510,1807,1992,3799
3023058000,대전광역시,대덕구,목상동,6049,3289,2760,152,136,288,243,256,499,465,379,844,583,333,916,563,419,982,632,495,1127,651,742,1393
3023060000,대전광역시,대덕구,법1동,12310,5750,6560,361,372,733,461,465,926,654,577,1231,771,743,1514,772,755,1527,1055,1308,2363,1676,2340,4016
3023061000,대전광역시,대덕구,법2동,14920,7236,7684,370,326,696,650,572,1222,946,738,1684,713,627,1340,857,946,1803,1398,1613,3011,2302,2862,5164
