행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-05-31,대전광역시,동구,중앙동,3730,2106,1624,27,40,67,42,49,91,110,95,205,173,113,286,248,118,366,446,216,662,1060,993,2053
3011053000,2024-05-31,대전광역시,동구,효동,22566,11017,11549,815,826,1641,1634,1520,3154,1208,1036,2244,1011,1008,2019,1978,2220,4198,1966,1878,3844,2405,3061,5466
3011054500,2024-05-31,대전광역시,동구,신인동,15172,7399,7773,665,645,1310,615,469,1084,645,665,1310,1199,1176,2375,1167,1054,2221,1137,1218,2355,1971,2546,4517
3011055100,2024-05-31,대전광역시,동구,판암1동,12054,5818,6236,340,299,639,438,400,838,647,583,1230,698,631,1329,780,747,1527,1025,1098,2123,1890,2478,4368
3011055200,2024-05-31,대전광역시,동구,판암2동,7937,3827,4110,93,82,175,156,155,311,310,263,573,373,272,645,463,340,803,703,619,1322,1729,2379,4108
3011056000,2024-05-31,대전광역시,동구,용운동,21369,10797,10572,773,707,1480,854,872,1726,1704,1493,3197,1503,1289,2792,1515,1410,2925,1839,1782,3621,2609,3019,5628
3011058500,2024-05-31,대전광역시,동구,대동,13916,7000,6916,532,491,1023,770,693,1463,801,672,1473,800,757,1557,1135,1088,2223,1181,1125,2306,1781,2089,3870
3011059000,2024-05-31,대전광역시,동구,자양동,10881,5812,5069,124,143,267,392,492,884,1765,1287,3052,591,377,968,640,433,1073,828,675,1503,1472,1661,3133
3011062000,2024-05-31,대전광역시,동구,가양1동,12831,6720,6111,260,267,527,525,508,1033,1056,738,1794,675,514,1189,923,802,1725,1210,978,2188,2071,2304,4375
3011063000,2024-05-31,대전광역시,동구,가양2동,18799,9409,9390,424,351,775,823,814,1637,1525,1479,3004,1167,893,2060,1260,1182,2442,1675,1641,3316,2535,3030,5565
3011064000,2024-05-31,대전광역시,동구,용전동,20171,10328,9843,416,406,822,682,678,1360,1914,1976,3890,1686,1222,2908,1534,1293,2827,1737,1576,3313,2359,2692,5051
3011066500,2024-05-31,대전광역시,동구,성남동,10902,5386,5516,359,302,661,379,395,774,591,514,1105,621,559,1180,778,724,1502,963,897,1860,1695,2125,3820
3011067000,2024-05-31,대전광역시,동구,홍도동,11211,5726,5485,247,208,455,402,374,776,1087,1039,2126,780,581,1361,784,611,1395,977,897,1874,1449,1775,3224
3011069500,2024-05-31,대전광역시,동구,삼성동,13023,6607,6416,275,254,529,523,496,1019,697,546,1243,628,544,1172,920,789,1709,1247,1097,2344,2317,2690,5007
3011072500,2024-05-31,대전광역시,동구,대청동,2218,1161,1057,17,21,38,44,60,104,94,64,158,80,39,119,105,70,175,237,172,409,584,631,1215
3011074000,2024-05-31,대전광역시,동구,산내동,19464,9794,9670,654,585,1239,1352,1177,2529,950,797,1747,814,775,1589,1588,1683,3271,1798,1583,3381,2638,3070,5708
