행정기관코드,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3017054000,대전광역시,서구,변동,12856,6491,6365,320,287,607,482,428,910,718,664,1382,846,674,1520,908,798,1706,1144,1092,2236,2073,2422,4495
3017055000,대전광역시,서구,용문동,11660,5568,6092,196,219,415,251,243,494,983,1164,2147,1128,980,2108,793,716,1509,829,908,1737,1388,1862,3250
3017055500,대전광역시,서구,탄방동,26410,12688,13722,718,595,1313,1100,1048,2148,2186,2668,4854,2423,2307,4730,1916,2112,4028,2050,2158,4208,2295,2834,5129
3017056000,대전광역시,서구,괴정동,18477,8997,9480,377,382,759,597,591,1188,1778,2398,4176,2056,1661,3717,1351,1186,2537,1218,1299,2517,1620,1963,3583
3017057000,대전광역시,서구,가장동,10731,5169,5562,292,253,545,453,479,932,632,683,1315,639,543,1182,782,748,1530,897,998,1895,1474,1858,3332
3017057500,대전광역시,서구,내동,22446,10771,11675,671,626,1297,1152,1195,2347,1349,1354,2703,1247,1148,2395,1646,1787,3433,1846,2019,3865,2860,3546,6406
3017058100,대전광역시,서구,갈마1동,20961,10608,10353,398,402,800,718,645,1363,2088,2028,4116,2001,1452,3453,1444,1351,2795,1555,1616,3171,2404,2859,5263
3017058200,대전광역시,서구,갈마2동,23801,11957,11844,486,487,973,861,838,1699,2420,2628,5048,2456,1830,4286,1672,1574,3246,1899,2006,3905,2163,2481,4644
3017058600,대전광역시,서구,월평1동,11127,6031,5096,154,139,293,249,224,473,1570,1297,2867,1248,815,2063,796,543,1339,861,815,1676,1153,1263,2416
3017058700,대전광역시,서구,월평2동,13437,6361,7076,298,276,574,565,554,1119,764,659,1423,726,651,1377,725,841,1566,1124,1306,2430,2159,2789,4948
3017058800,대전광역시,서구,월평3동,20130,9800,10330,740,647,1387,1240,1098,2338,1224,924,2148,1145,1250,2395,1360,1599,2959,1647,1953,3600,2444,2859,5303
3017059000,대전광역시,서구,가수원동,10243,5007,5236,226,221,447,442,418,860,608,479,1087,567,509,1076,652,626,1278,889,939,1828,1623,2044,3667
3017059300,대전광역시,서구,도안동,36506,17860,18646,2444,2360,4804,2582,2486,5068,1899,2143,4042,2661,3045,5706,3731,3914,7645,2497,2485,4982,2046,2213,4259
3017059600,대전광역시,서구,관저1동,14751,6890,7861,448,424,872,723,657,1380,1147,1344,2491,917,978,1895,932,1098,2030,1167,1461,2628,1556,1899,3455
3017059700,대전광역시,서구,관저2동,48104,23416,24688,2265,2198,4463,3001,2897,5898,3177,3092,6269,3272,3352,6624,4163,4534,8697,4048,4326,8374,3490,4289,7779
3017060000,대전광역시,서구,기성동,3379,1740,1639,39,27,66,72,68,140,116,80,196,111,102,213,182,138,320,319,249,568,901,975,1876
3017063000,대전광역시,서구,둔산1동,16308,8053,8255,661,640,1301,1705,1539,3244,791,627,1418,516,652,1168,1596,2046,3642,1454,1318,2772,1330,1433,2763
3017064000,대전광역시,서구,둔산2동,35023,16818,18205,1326,1246,2572,1853,1750,3603,2379,2521,4900,2739,2799,5538,2450,2976,5426,2982,3473,6455,3089,3440,6529
3017065000,대전광역시,서구,만년동,12106,6152,5954,359,347,706,560,508,1068,1261,883,2144,1093,929,2022,740,882,1622,1034,1151,2185,1105,1254,2359
3017066000,대전광역시,서구,둔산3동,18865,9053,9812,469,434,903,1423,1260,2683,1158,1031,2189,746,768,1514,1310,1657,2967,1681,1786,3467,2266,2876,5142
3020052000,대전광역시,유성구,진잠동,25371,12914,12457,807,717,1524,1201,1085,2286,1677,1410,3087,1729,1404,3133,1907,1825,3732,2469,2450,4919,3124,3566,6690
