행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-08-31,대전광역시,동구,중앙동,3670,2073,1597,23,39,62,42,44,86,114,100,214,170,110,280,235,118,353,440,206,646,1049,980,2029
3011053000,2024-08-31,대전광역시,동구,효동,23942,11735,12207,919,907,1826,1685,1563,3248,1268,1077,2345,1250,1213,2463,2091,2304,4395,2029,1974,4003,2493,3169,5662
3011054500,2024-08-31,대전광역시,동구,신인동,14983,7312,7671,632,606,1238,607,462,1069,648,644,1292,1173,1154,2327,1136,1045,2181,1142,1209,2351,1974,2551,4525
3011055100,2024-08-31,대전광역시,동구,판암1동,11947,5759,6188,319,279,598,432,392,824,647,597,1244,677,609,1286,764,733,1497,1014,1089,2103,1906,2489,4395
3011055200,2024-08-31,대전광역시,동구,판암2동,7868,3785,4083,86,80,166,157,156,313,293,264,557,367,267,634,453,329,782,685,599,1284,1744,2388,4132
3011056000,2024-08-31,대전광역시,동구,용운동,21194,10689,10505,758,699,1457,822,855,1677,1688,1495,3183,1496,1289,2785,1501,1382,2883,1803,1754,3557,2621,3031,5652
3011058500,2024-08-31,대전광역시,동구,대동,13806,6921,6885,530,465,995,762,709,1471,769,663,1432,784,748,1532,1121,1079,2200,1173,1112,2285,1782,2108,3890
3011059000,2024-08-31,대전광역시,동구,자양동,10917,5831,5086,126,143,269,386,457,843,1790,1349,3139,600,382,982,631,430,1061,831,673,1504,1467,1651,3118
3011062000,2024-08-31,대전광역시,동구,가양1동,12718,6639,6079,245,258,503,516,509,1025,1032,729,1761,664,522,1186,906,771,1677,1206,966,2172,2070,2324,4394
3011063000,2024-08-31,대전광역시,동구,가양2동,18747,9375,9372,415,345,760,798,812,1610,1535,1480,3015,1163,879,2042,1243,1179,2422,1670,1622,3292,2551,3055,5606
3011064000,2024-08-31,대전광역시,동구,용전동,20103,10300,9803,399,399,798,680,665,1345,1911,1940,3851,1684,1229,2913,1509,1291,2800,1736,1564,3300,2381,2715,5096
3011066500,2024-08-31,대전광역시,동구,성남동,10827,5337,5490,341,289,630,378,394,772,565,503,1068,609,543,1152,771,724,1495,967,900,1867,1706,2136,3842
3011067000,2024-08-31,대전광역시,동구,홍도동,11112,5689,5423,240,204,444,391,355,746,1080,1023,2103,792,578,1370,762,594,1356,974,890,1864,1450,1779,3229
3011069500,2024-08-31,대전광역시,동구,삼성동,13301,6752,6549,325,274,599,535,492,1027,690,550,1240,688,616,1304,941,812,1753,1260,1104,2364,2313,2701,5014
3011072500,2024-08-31,대전광역시,동구,대청동,2189,1150,1039,18,18,36,41,58,99,88,60,148,83,39,122,102,68,170,231,165,396,587,631,1218
3011074000,2024-08-31,대전광역시,동구,산내동,19417,9762,9655,634,578,1212,1350,1175,2525,949,793,1742,810,776,1586,1569,1651,3220,1803,1595,3398,2647,3087,5734
3014053500,2024-08-31,대전광역시,중구,은행선화동,16852,8556,8296,613,635,1248,547,628,1175,1087,1268,2355,1499,1387,2886,1448,1160,2608,1438,1128,2566,1924,2090,4014
3014055000,2024-08-31,대전광역시,중구,목동,17628,8431,9197,865,859,1724,1370,1448,2818,935,890,1825,959,1122,2081,1635,1874,3509,1481,1401,2882,1186,1603,2789
3014056000,2024-08-31,대전광역시,중구,중촌동,13485,6536,6949,452,431,883,516,477,993,706,684,1390,909,820,1729,974,959,1933,1149,1184,2333,1830,2394,4224
3014057500,2024-08-31,대전광역시,중구,대흥동,12943,6383,6560,341,265,606,507,480,987,1055,1278,2333,928,852,1780,937,912,1849,1039,887,1926,1576,1886,3462
3014060500,2024-08-31,대전광역시,중구,문창동,4238,2174,2064,70,51,121,143,112,255,187,180,367,190,149,339,280,204,484,429,305,734,875,1063,1938
3014062000,2024-08-31,대전광역시,중구,석교동,14481,7310,7171,250,214,464,459,441,900,770,627,1397,729,571,1300,924,750,1674,1322,1241,2563,2856,3327,6183
3014063000,2024-08-31,대전광역시,중구,대사동,5242,2565,2677,78,51,129,145,100,245,404,510,914,329,278,607,291,223,514,418,386,804,900,1129,2029
3014064000,2024-08-31,대전광역시,중구,부사동,6286,3174,3112,129,101,230,202,164,366,311,305,616,350,258,608,416,341,757,584,524,1108,1182,1419,2601
3014065500,2024-08-31,대전광역시,중구,용두동,9492,4612,4880,225,251,476,317,354,671,785,876,1661,749,700,1449,685,630,1315,779,689,1468,1072,1380,2452
3014067000,2024-08-31,대전광역시,중구,오류동,10134,4720,5414,251,262,513,325,340,665,604,703,1307,675,645,1320,614,649,1263,854,941,1795,1397,1874,3271
3014068000,2024-08-31,대전광역시,중구,태평1동,12608,6052,6556,404,406,810,677,690,1367,700,624,1324,596,626,1222,993,1072,2065,1135,1189,2324,1547,1949,3496
3014069000,2024-08-31,대전광역시,중구,태평2동,24097,11455,12642,665,629,1294,1361,1330,2691,1372,1220,2592,918,1002,1920,1613,1907,3520,2139,2353,4492,3387,4200,7587
3014070000,2024-08-31,대전광역시,중구,유천1동,5793,2987,2806,121,98,219,136,125,261,345,295,640,401,307,708,447,340,787,544,465,1009,993,1176,2169
3014071000,2024-08-31,대전광역시,중구,유천2동,13010,6403,6607,289,295,584,482,428,910,795,767,1562,735,650,1385,856,806,1662,1017,1056,2073,2229,2605,4834
3014072000,2024-08-31,대전광역시,중구,문화1동,20576,9957,10619,701,622,1323,1306,1193,2499,1282,1227,2509,909,987,1896,1497,1730,3227,1776,1816,3592,2486,3044,5530
