행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-12-31,대전광역시,동구,중앙동,3607,2043,1564,23,35,58,41,49,90,114,91,205,173,109,282,224,112,336,425,196,621,1043,972,2015
3011053000,2024-12-31,대전광역시,동구,효동,25172,12311,12861,992,963,1955,1717,1586,3303,1302,1132,2434,1407,1418,2825,2161,2327,4488,2134,2095,4229,2598,3340,5938
3011054500,2024-12-31,대전광역시,동구,신인동,14775,7218,7557,609,562,1171,595,457,1052,666,633,1299,1143,1123,2266,1090,1037,2127,1149,1198,2347,1966,2547,4513
3011055100,2024-12-31,대전광역시,동구,판암1동,11852,5711,6141,313,267,580,424,392,816,615,570,1185,686,603,1289,752,737,1489,992,1062,2054,1929,2510,4439
3011055200,2024-12-31,대전광역시,동구,판암2동,7870,3803,4067,84,78,162,160,152,312,288,260,548,372,278,650,451,315,766,684,585,1269,1764,2399,4163
3011056000,2024-12-31,대전광역시,동구,용운동,20918,10568,10350,717,676,1393,827,829,1656,1645,1466,3111,1498,1273,2771,1444,1322,2766,1787,1737,3524,2650,3047,5697
3011058500,2024-12-31,대전광역시,동구,대동,13684,6848,6836,511,457,968,772,715,1487,760,650,1410,768,740,1508,1101,1062,2163,1160,1110,2270,1776,2101,3877
3011059000,2024-12-31,대전광역시,동구,자양동,10824,5736,5088,127,137,264,360,427,787,1769,1395,3164,594,397,991,602,424,1026,825,656,1481,1459,1652,3111
3011062000,2024-12-31,대전광역시,동구,가양1동,12837,6687,6150,241,253,494,526,503,1029,1032,768,1800,672,519,1191,905,778,1683,1219,988,2207,2092,2341,4433
3011063000,2024-12-31,대전광역시,동구,가양2동,18525,9287,9238,399,333,732,778,751,1529,1496,1478,2974,1136,856,1992,1223,1146,2369,1677,1586,3263,2578,3088,5666
