행정동_코드,행정동_코드_명,상관계수,상관_위험도점수
11110515,청운효자동,0.016958953367143575,0.9830410466328564
11110530,사직동,0.01658635208750758,0.9834136479124924
11110540,삼청동,0.07571350682674122,0.9242864931732588
11110550,부암동,-0.024685120727380085,1.0246851207273802
11110560,평창동,0.002822314484675225,0.9971776855153248
11110570,무악동,-0.010533166211615989,1.010533166211616
11110580,교남동,-0.0060308848295791626,1.0060308848295791
11110600,가회동,0.033115377051895316,0.9668846229481047
11110615,종로1?2?3?4가동,,
11110630,종로5?6가동,,
11110640,이화동,0.03228699752938992,0.9677130024706101
11110650,혜화동,0.01212183382358412,0.9878781661764159
11110670,창신1동,0.011055669951490047,0.9889443300485099
11110680,창신2동,0.005117086466458208,0.9948829135335417
11110690,창신3동,0.0794835259292581,0.9205164740707419
11110700,숭인1동,0.06206119135463875,0.9379388086453613
11110710,숭인2동,-0.022039985525040034,1.02203998552504
11140520,소공동,-4.280219860594339e-06,1.0000042802198605
11140540,회현동,0.02445388843914259,0.9755461115608575
11140550,명동,0.010387399323761324,0.9896126006762387
11140570,필동,0.022672015337200608,0.9773279846627994
11140580,장충동,-0.02615500012359033,1.0261550001235904
11140590,광희동,-0.0073378724700666,1.0073378724700666
11140605,을지로동,-0.008342139933405806,1.0083421399334058
11140615,신당동,0.00804930065555789,0.9919506993444421
11140625,다산동,0.0337488347911659,0.9662511652088341
11140635,약수동,-0.03620738222331182,1.0362073822233118
11140645,청구동,0.018730028448297888,0.9812699715517021
11140650,신당5동,-0.023870475649498755,1.0238704756494987
11140665,동화동,-0.004229427802242373,1.0042294278022423
11140670,황학동,-8.53769606570666e-05,1.000085376960657
11140680,중림동,-0.04049320543418458,1.0404932054341847
11170510,후암동,-0.0064960713638488165,1.0064960713638489
11170520,용산2가동,0.045133272178252345,0.9548667278217476
11170530,남영동,0.0019312907884863925,0.9980687092115136
11170555,청파동,0.03759747521432717,0.9624025247856728
11170560,원효로1동,-0.0034274692075300047,1.00342746920753
11170570,원효로2동,-0.015871638590472827,1.015871638590473
11170580,효창동,0.03863903377489433,0.9613609662251057
11170590,용문동,0.01647528955182913,0.9835247104481709
11170625,한강로동,-0.006881033014662975,1.006881033014663
11170630,이촌1동,-0.0013736002990445916,1.0013736002990445
11170640,이촌2동,0.03239794098825537,0.9676020590117447
11170650,이태원1동,-0.00907947855142364,1.0090794785514237
11170660,이태원2동,-0.007526936944521271,1.0075269369445212
11170685,한남동,-0.0037553189973067104,1.0037553189973067
11170690,서빙고동,-0.031048534412714254,1.0310485344127143
11170700,보광동,0.03689753799214199,0.963102462007858
11200520,왕십리2동,-0.015711726137280033,1.0157117261372801
11200535,왕십리도선동,0.020595100897751833,0.9794048991022481
11200540,마장동,0.004021992878837549,0.9959780071211625
11200550,사근동,0.0442539794950583,0.9557460205049417
11200560,행당1동,-0.0010651314340450835,1.001065131434045
11200570,행당2동,0.007417136643789698,0.9925828633562103
11200580,응봉동,0.05001500636771567,0.9499849936322843
11200590,금호1가동,-0.0643725235250338,1.0643725235250339
11200615,금호2?3가동,,
11200620,금호4가동,-0.020744455338978326,1.0207444553389784
11200645,옥수동,-0.014797859703764621,1.0147978597037646
11200650,성수1가1동,0.04138683439566071,0.9586131656043393
11200660,성수1가2동,0.028885099926443822,0.9711149000735562
11200670,성수2가1동,-0.024203950242514326,1.0242039502425144
11200690,성수2가3동,0.006769568491133857,0.9932304315088661
11200720,송정동,-0.004965885068889805,1.0049658850688898
11200790,용답동,-0.01133618859750227,1.0113361885975023
11215710,화양동,0.009952711376758027,0.990047288623242
11215730,군자동,0.01664441057628392,0.983355589423716
11215740,중곡1동,-0.017340199857319775,1.0173401998573197
11215750,중곡2동,-0.00626637843770623,1.0062663784377062
11215760,중곡3동,-0.002149089729767934,1.002149089729768
11215770,중곡4동,-0.0064206702935092385,1.0064206702935092
11215780,능동,0.022684280280635214,0.9773157197193648
11215810,광장동,0.030199396546428205,0.9698006034535718
11215820,자양1동,0.011328241663410272,0.9886717583365897
11215830,자양2동,0.006584832255486166,0.9934151677445139
11215840,자양3동,0.003254755273896333,0.9967452447261037
11215847,자양4동,0.016334266982768214,0.9836657330172318
11215850,구의1동,0.03599154855858716,0.9640084514414129
11215860,구의2동,-0.019338409617416126,1.019338409617416
11215870,구의3동,-0.014941118365738157,1.0149411183657382
11230536,용신동,-0.008797263048064262,1.0087972630480642
11230545,제기동,-0.0020866383507676793,1.0020866383507676
11230560,전농1동,-0.002003942057917363,1.0020039420579174
11230570,전농2동,0.019937420448830217,0.9800625795511698
11230600,답십리1동,0.003206700656421324,0.9967932993435786
11230610,답십리2동,0.006428643496312395,0.9935713565036876
11230650,장안1동,-0.008494130230879696,1.0084941302308796
11230660,장안2동,-0.0001526720640195514,1.0001526720640195
11230705,청량리동,0.0032234314787962215,0.9967765685212038
11230710,회기동,0.03723857591479761,0.9627614240852024
11230720,휘경1동,-0.0002063853442333879,1.0002063853442333
11230730,휘경2동,0.011360975829549222,0.9886390241704508
11230740,이문1동,0.03245987924957774,0.9675401207504223
11230750,이문2동,0.002293531631902196,0.9977064683680978
11260520,면목2동,0.0006762793297757461,0.9993237206702242
11260540,면목4동,-0.03402359002513638,1.0340235900251364
11260550,면목5동,-0.030779036188977864,1.030779036188978
11260565,면목본동,0.0032422084612049483,0.9967577915387951
11260570,면목7동,0.01016284686035388,0.9898371531396462
11260575,면목3?8동,,
11260580,상봉1동,-0.014160314522841808,1.0141603145228417
11260590,상봉2동,0.0048936267537262575,0.9951063732462737
